post_id,platform,post_text,hashtags,timestamp,image_url,likes,comments,author
PcbuKRNtCUc,YouTube,Learn about all the most important concepts and terms related to machine learning and AI. Course developed by ...,,2025-04-22T15:40:29Z,thumbnails\PcbuKRNtCUc.jpg,5127,113,freeCodeCamp.org
9vM4p9NN0Ts,YouTube,For more information about Stanford's Artificial Intelligence programs visit: https://stanford.io/ai This lecture provides a concise ...,,2024-08-27T22:02:57Z,thumbnails\9vM4p9NN0Ts.jpg,32709,278,Stanford Online
RG6pxTDNqik,YouTube,Want to become a Machine Learning Engineer? This #Shorts video breaks down the essential Skills Required to Become a ...,#Shorts,2025-02-07T12:30:33Z,thumbnails\RG6pxTDNqik.jpg,1467,2,Intellipaat
qPUYBX0C6ic,YouTube,,,2024-06-25T18:00:32Z,thumbnails\qPUYBX0C6ic.jpg,851,3,AGI Lambda
Fu0NpZaszb0,YouTube,Machine Learning Explained with Oreos #ml #ai #tech #fyp.,"#ml,#ai,#tech,#fyp.",2025-04-18T21:00:14Z,thumbnails\Fu0NpZaszb0.jpg,679,7,Sajjaad Khader
BRq4N8VQ_Lo,YouTube,,,2025-04-12T09:30:00Z,thumbnails\BRq4N8VQ_Lo.jpg,68,0,Garima's stitiching 
EuBBz3bI-aA,YouTube,"Bias and Variance are two fundamental concepts for Machine Learning, and their intuition is just a little different from what you ...",,2018-09-17T16:00:42Z,thumbnails\EuBBz3bI-aA.jpg,40610,1533,StatQuest with Josh Starmer
V-OLZIpxtXY,YouTube,In this video we use Mediapipe to run a Machine Learning for Facial Recognition in Python.#python machinelearning #ai ...,#ai,2022-06-21T16:08:19Z,thumbnails\V-OLZIpxtXY.jpg,19832,132,Rob Mulla
uBLdIrvIzIc,YouTube,Sabías que la IA aprende a reconocer un gato viendo millones de fotos? Así funciona el machine learning... ¡y el deep learning va ...,,2025-04-08T18:47:24Z,thumbnails\uBLdIrvIzIc.jpg,1955,15,EDteam
qNxrPri1V0I,YouTube,Learn Machine Learning Like a GENIUS and Not Waste Time ######################################### I just started ...,#########################################,2024-11-14T15:44:06Z,thumbnails\qNxrPri1V0I.jpg,47478,496,Infinite Codes
JxgmHe2NyeY,YouTube,All the materials are available in the below link ...,,2022-05-28T04:37:31Z,thumbnails\JxgmHe2NyeY.jpg,21529,509,Krish Naik
QghjaS0WQQU,YouTube,"In this video, you'll learn more about the evolution of machine learning and its impact on daily life.",,2018-02-22T16:18:06Z,thumbnails\QghjaS0WQQU.jpg,897,12,LearnFree
JkZAQaUFNfU,YouTube,"Machine learning is advancing, but businesses wonder if some machines can keep up? Anything can change the world of work.",,2024-11-08T20:28:50Z,thumbnails\JkZAQaUFNfU.jpg,0,0,ADP
YZ8-GmTT7uM,YouTube,"Watch the full video here: https://youtu.be/FIpbrnbVfJk With the field of Artificial Intelligence growing at a rapid rate, many people ...",,2023-08-09T23:18:00Z,thumbnails\YZ8-GmTT7uM.jpg,5221,79,Tech With Tim
t4ZURnliGNw,YouTube,"Cara kerja machine learning ini memang kayak ngajarin anak kecil ya, coders   Kalau kamu mau mempelajari lebih jauh tentang ...",,2024-01-30T10:39:26Z,thumbnails\t4ZURnliGNw.jpg,616,11,Dicoding Indonesia
MYWpaNYAo0o,YouTube,"Machine learning is a very common form of AI currently used to achieve specific tasks, like recognizing patterns in data. Once a ...",,2023-03-24T23:21:17Z,thumbnails\MYWpaNYAo0o.jpg,1332,7,Museum of Science
0YdpwSYMY6I,YouTube,"ml #machinelearning #ai #artificialintelligence #datascience #regression #classification In this video, we explain every major ...","#machinelearning,#ai,#artificialintelligence,#datascience,#regression,#classification",2025-02-02T18:35:04Z,thumbnails\0YdpwSYMY6I.jpg,8076,129,AI For Beginners
4ZiGhflRNT8,YouTube,Suscríbete al canal! Sigue a Eduardo Sáenz de Cabezón: En Twitter: http://twitter.com/edusadeci En Instagram: ...,,2023-02-26T19:00:02Z,thumbnails\4ZiGhflRNT8.jpg,2664,10,Derivando
_AVBG6pgPhs,YouTube,Get notified of the free Python course on the home page at https://www.coursesfromnick.com Sign up for the Full Stack course ...,,2023-01-25T06:25:52Z,thumbnails\_AVBG6pgPhs.jpg,16959,337,Nicholas Renotte
4ZiGhflRNT8,YouTube,Suscríbete al canal! Sigue a Eduardo Sáenz de Cabezón: En Twitter: http://twitter.com/edusadeci En Instagram: ...,,2023-02-26T19:00:02Z,thumbnails\4ZiGhflRNT8.jpg,2664,10,Derivando
